FirstName;LastName;BirthDate;Gender;Email;PhoneNumber;Street;HouseNumber;ZipCode;City;Country;Notes;CreatedAt;IsActive
"Cynthia";"Sanders";"1985-05-16";"Diverse";"cynthia.sanders@example.com";"+1 575 751 2982";"Water Street";"93";"40964";"Jersey City";"Jamaica";"Generated test data";"2025-08-05";"True";
"Daniel";"Howard";"1996-06-21";"Unknown";"daniel.howard@example.com";"+1 562 105 5379";"Birch Avenue";"109";"37362";"Louisville";"Singapore";"Generated test data";"2024-11-02";"True";
"Kathleen";"Ward";"1954-11-22";"Female";"kathleen.ward@example.com";"+1 846 654 7764";"Columbia Avenue";"14";"92163";"Fort Worth";"Mexico";"Generated test data";"2025-06-12";"True";
"Jerry";"Baker";"1992-11-21";"Male";"jerry.baker@example.com";"+1 718 979 3534";"Smith Road";"50B";"87163";"St. Petersburg";"Bahrain";"Generated test data";"2025-03-23";"True";
"Megan";"Sanders";"1986-11-11";"Female";"megan.sanders@example.com";"+1 967 745 8100";"Harvard Street";"175";"12410";"Sacramento";"Sri Lanka";"Generated test data";"2025-01-26";"True";
"Anna";"Cox";"1987-11-02";"Male";"anna.cox@example.com";"+1 415 280 4187";"Lady Street";"56";"20330";"Anchorage";"Laos";"Generated test data";"2024-10-09";"False";
"Jack";"Thomas";"1975-08-28";"Diverse";"jack.thomas@example.com";"+1 866 259 6695";"Hamilton Avenue";"75A";"81555";"Stockton";"Panama";"Generated test data";"2024-10-13";"True";
"Jennifer";"Morales";"1979-03-06";"Male";"jennifer.morales@example.com";"+1 218 220 6735";"Park Avenue";"128";"42057";"Gilbert";"Guatemala";"Generated test data";"2025-06-18";"True";
"Jason";"Roberts";"1998-12-28";"Diverse";"jason.roberts@example.com";"+1 232 216 6796";"Washington Street";"33B";"80626";"Denver";"Philippines";"Generated test data";"2024-12-07";"True";
"Rachel";"Nelson";"1999-02-06";"Male";"rachel.nelson@example.com";"+1 398 957 7803";"School Street";"49B";"47084";"Hialeah";"Peru";"Generated test data";"2024-08-28";"False";
"Christina";"Long";"1968-05-25";"Diverse";"christina.long@example.com";"+1 192 546 5662";"Gate Street";"96";"45002";"Boston";"Czech Republic";"Generated test data";"2025-01-23";"True";
"Lisa";"Evans";"1978-10-09";"Unknown";"lisa.evans@example.com";"+1 974 750 7618";"Union Street";"150C";"30739";"Jersey City";"Greece";"Generated test data";"2025-04-09";"False";
"Tyler";"Ramos";"1972-05-30";"Female";"tyler.ramos@example.com";"+1 928 243 5728";"King Street";"77C";"76372";"Aurora";"Paraguay";"Generated test data";"2025-03-23";"False";
"James";"Myers";"1964-02-02";"Unknown";"james.myers@example.com";"+1 607 589 8795";"Monroe Avenue";"102C";"17066";"El Paso";"Monaco";"Generated test data";"2025-07-23";"False";
"Anthony";"Hernandez";"1958-07-29";"Female";"anthony.hernandez@example.com";"+1 824 691 5287";"Cherry Lane";"40";"23785";"Kansas City";"United Arab Emirates";"Generated test data";"2024-09-12";"False";
"Karen";"Kim";"1963-05-17";"Unknown";"karen.kim@example.com";"+1 259 393 1142";"Union Street";"151";"38274";"Spokane";"Costa Rica";"Generated test data";"2024-09-09";"True";
"Charles";"Cox";"1994-02-10";"Unknown";"charles.cox@example.com";"+1 497 728 2340";"Park Lane";"149";"58391";"Albuquerque";"Oman";"Generated test data";"2024-12-24";"True";
"Jeffrey";"Mitchell";"1962-08-06";"Unknown";"jeffrey.mitchell@example.com";"+1 238 196 9906";"Stanford Street";"93";"23587";"Indianapolis";"Monaco";"Generated test data";"2025-08-06";"False";
"Jennifer";"Campbell";"2000-07-10";"Unknown";"jennifer.campbell@example.com";"+1 331 906 8623";"Wilson Street";"157";"75579";"Los Angeles";"Belgium";"Generated test data";"2024-12-15";"False";
"Rachel";"Green";"2002-06-28";"Female";"rachel.green@example.com";"+1 238 132 7150";"Clinton Avenue";"21A";"41136";"Seattle";"Austria";"Generated test data";"2025-03-31";"True";
"Hannah";"Mendoza";"1993-12-09";"Male";"hannah.mendoza@example.com";"+1 186 173 6534";"Jackson Street";"167A";"37958";"Seattle";"Saudi Arabia";"Generated test data";"2025-04-23";"False";
"Mark";"Peterson";"1950-07-24";"Diverse";"mark.peterson@example.com";"+1 663 440 1569";"Cedar Street";"109";"52356";"Buffalo";"Kazakhstan";"Generated test data";"2024-12-18";"False";
"Justin";"Adams";"1956-11-01";"Female";"justin.adams@example.com";"+1 466 119 1199";"Pierce Street";"19";"36651";"Seattle";"Hungary";"Generated test data";"2024-09-11";"True";
